Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,S_Manager_Rating,Work_or_lifeBalance_Rating
Junior Data Analyst - Part Time Entry Level - Remote,Employer Provided Salary:$17 Per Hour,"Why CORMAC?
At CORMAC, we leverage the power of data management and analytics to enable our customers to achieve their strategic goals. With over 20 years of experience in health information technology (HIT), human-centered design principles and Agile development methodologies, CORMAC delivers complex digital solutions to solve some of the most challenging problems facing public healthcare programs today.
Using data science principles, CORMAC’s data analytics solutions provide the power to turn raw data into insights and opportunities. By strategically applying descriptive, prescriptive and predictive analytics, we help our customers identify key business drivers, current trends, future activity and optimal outcomes. You will work with crucial data related to public health for clients such as Medicare, Medicaid, Patient Safety and have insight into to the challenges stakeholders face with public health programs.",3.9,"CORMAC
3.9",Remote,Unknown,2002,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),3.9,4.1
"data analyst, (multiple openings) - Remote",$36K - $50K (Glassdoor est.),"Job Posting
: Aug 17, 2022
Job Posting End Date
: Sep 17, 2022
Location
: US-WA-Seattle-Starbucks Support Center
Is this role eligible for remote or hybrid work? : Yes-Remote",3.8,"Starbucks
3.8","Seattle, WA",10000+ Employees,1971,Company - Public,Restaurants & Cafes,Restaurants & Food Service,$10+ billion (USD),3.2,3.4
Entry Level Business Analyst,Employer Provided Salary:$68K - $80K,"We are looking for Entry Level Business Analyst
Responsible:
Prepare templated documents and gather data from various business users
Work closely with and coordinate across project teams to ensure timeline and accurate schedule updates
Identify and document functional requirements for information systems
Develop project documentation and user materials according to program specifications
Analyze requirements and document and research components of solutions
Make the requirements and solutions understandable to both User as well as to the development team",5.0,"Dhatronictech
5.0",Remote,1 to 50 Employees,Company - Private,Unknown / Non-Applicable,NaN,NaN,NaN,5.0,5.0
Data Analyst,$68K - $101K (Glassdoor est.),"What You Will Do:
Identify, organize, and analyze relevant datasets in support of ongoing research projects
Perform exploratory data analysis and build QC pipelines.
Design data visualization tools for evaluating and summarizing insights and research results
Develop new code and adapt existing code to meet project needs
Collaborate with team members and across the Science organization to complete research tasks",4.1,"Bayer
4.1","San Francisco, CA",10000+ Employees,1863,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),3.7,4.1
Data Analyst,$57K - $82K (Glassdoor est.),"Join AZAD Technology Partners as a Data Analyst and be an impactful contributor as part of a Data Integration and Reporting organization that provides reporting services, business intelligence, data warehousing, and data integration for an enterprise level, high availability and security environment that committed to sustainably within the Pacific Northwest.
This role will develop Extract, Transformation and Loading (ETL) procedures for implementing data integration and data migration tasks in support of Data Warehousing and other data integration projects and requires demonstrated experience using an ETL tool such as Informatica Suite (including Power Center and Power Exchange) or an equivalent tool, as well as SQL Server Integration Services (SSIS) and SQL Server Analysis Services (SSAS).

The ideal candidate will possess the minimum qualifications:
Bachelor's Degree in Information/Computer Technology or a closely-related field is preferred.",3.9,"AZAD Technology Partners
3.9","Portland, OR",Unknown,1992,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,3.2,3.8
Business Analyst,Employer Provided Salary:$60 Per Hour,"Expertise and/or relevant experience in the following areas are mandatory:
· Minimum one (1) year of professional experience in software analysis, mapping, and/or documentation.
· Minimum one (1) year of experience translating data into actionable insights.
· Minimum one (1) year of practical experience generating process documentation and reports.
· Proficient in the use of Microsoft office or comparable software applications.
Skills/Experience Required:",4.7,"Systechcorp Inc
4.7",Remote,Unknown,Company - Private,Unknown / Non-Applicable,NaN,NaN,NaN,4.9,4.5
Data Analyst,Employer Provided Salary:$40 - $45 Per Hour,"Data Analytics Specialist (Princeton, NJ)
Contract: 12 months
Hours:
Up to 40 hours per week
Monday through Friday, 9am-5pm
Location
Preferably within commuting distance of the Princeton, NJ campus
WHAT YOU’LL DO",5.0,"CFT Consulting
5.0","Princeton, NJ",Unknown,Company - Public,Unknown / Non-Applicable,NaN,NaN,NaN,4.7,5.0
Business Analyst,Employer Provided Salary:$27 - $45 Per Hour,"Demonstrates a clear working knowledge of the Business Analysis responsibilities, concepts and techniques as adapted by the organization.
· Performs business analysis tasks such as problem solving and new requirements definition tasks per area of focus within Business Analysis as assigned by Manager.
· Works under limited supervision.
ESSENTIAL FUNCTIONS:
· Performs tasks per area of focus within Business Analysis as assigned by Manager.
· Demonstrates clear and working knowledge and concepts of Information Technology.",5.0,"Triunity software Inc.
5.0",Remote,1 to 50 Employees,2021,Company - Private,Information Technology Support Services,Information Technology,$1 to $5 million (USD),4.9,4.7
Junior Data Analyst,Employer Provided Salary:$20 - $35 Per Hour,"Modway is looking to hire a Junior Data Analyst to join our analytics team.
The team is responsible for supporting two company critical departments and field ad hoc requests to support the sales team.
The candidate should have strong working knowledge of SQL and the Microsoft Power Platform including (in order of importance) Power BI, Power Apps, Power Flows, and MS Dataverse.
Job Type: Full-time
Pay: $20.00 - $35.00 per hour
Benefits:",NaN,Modway,"East Windsor, NJ",NaN,NaN,NaN,NaN,NaN,NaN,4.9,NaN
Data Analyst,Employer Provided Salary:$130K - $135K,"Job Title: Data Analyst
Location: Tampa, FL
Hire Type: Full Time / Permanent
JD
Key Responsibilities:
Developing reports and analysis
Developing database rollups using fact and dimensions
Managing and designing reporting environment including data sources, security and metadata",4.6,"Kani Solutions
4.6",Remote,201 to 500 Employees,2009,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),4.4,4.4
